Start Location,End Location,Registration,Start Geofence,End Geofence,Trip Distance
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Goba, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,7.2
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Lumumba, Sabasaba, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,3.0
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,2.6
"Shaabani Robert Street, Kivukoni, Ilala, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,444.4
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,9.8
"Ugweno Street, Tandika, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,3.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ufukoni Road, Kivukoni, Ilala, Dar es Salaam, Tanzania",T248EBJ,X,Y,3.2
"Makangarawe, Temeke, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T258DXJ,D&J,Shomi,9.9
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,Y,8.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Segerea, Ilala, Dar es Salaam, Tanzania",T258DXJ,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mlali, Mvomero, Morogoro, Tanzania",T852DZQ,X,Y,0.0
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,X,Y,1.8
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Genevieve,2.6
"Uwanja wa ndege, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mbezi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Morieno,Y,8.9
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.5
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Kipipa Millers,Kipipa Millers,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,3.9
"Kilwa Road, Mbagala Kuu, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,3.4
"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania","Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,6.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,KB Nunge,0.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Mbuji,Mbuji,0.0
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania","Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,13.4
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,4.7
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,7.6
"Livingstone Street, Gerezani, Ilala, Dar es Salaam, Tanzania","Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,4.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Sanku : Dodoma,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,12.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,SFAKS ENTERPRISES,Halelwa,3.9
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,5.2
"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Tamiwai Investment co.,3.6
,,T934DMX,X,Y,0.0
"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Sultan Area, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,6.4
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T141DKS,X,Y,5.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,6.5
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,10.4
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Kinyerezi, Ilala, Dar es Salaam, Tanzania",T934DMX,X,Y,17.6
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Goba, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,12.8
"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0
"Muhonda Street, Mchikichini, Ilala, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,0.8
"B129, Kihonda, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,3.6
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,14.4
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T240EBJ,Kanaani,Sanku : Morogoro,2.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Y,33.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Y,2.4
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,SN Milling,Y,2.9
"A7, Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,1.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,5.4
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Uwanja wa ndege, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,3.4
"Mkunguni Street, Kariakoo, Ilala, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Kariakoo Street, Jangwani, Ilala, Dar es Salaam, Tanzania",T196DQG,Mbuji,Mbuji,12.1
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,1.3
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,1.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Moses Malimi,11.9
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Old Bagamoyo Road, Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,3.3
"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.2
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.0
"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania","Lumumba Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Sanku : Mikocheni,Sanku : Mikocheni,0.0
"B127, Diongoya, Mvomero, Morogoro, Tanzania","B127, Diongoya, Mvomero, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",MC473DKX,Sanku : Mikocheni,Y,3.2
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,1.3
"Dahomey Road, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Shekitango Road, Sinza, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,X,Y,5.8
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Kunduchi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Mahanze,4.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,1.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Furaha,Y,10.6
"Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.9
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,3.3
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,Raphael Group,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Sinza, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"B129, Kihonda, Morogoro Urban, Morogoro, Tanzania","B129, Kihonda, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Y,1.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Sabasaba, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,12.7
"Mazimbu, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,3.3
"Charambe, Temeke, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T257DXJ,X,Y,0.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,2.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,0.3
"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanz","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
"Nelson Mandela Road, Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,7.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,3.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,5.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Sanku : Dodoma,3.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.1
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Y,1.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Kinyerezi, Ilala, Dar es Salaam, Tanzania",T934DMX,X,Y,0.2
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Lake Food,Astrica Mill,1.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T452EBA,Sanku : Dodoma,Sanku : Dodoma,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Moshono Millers Ltd,3.8
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,4.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,19.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,0.0
"Kidodi, Kilosa, Morogoro, Tanzania","A7, Mikumi, Kilosa, Morogoro, Tanzania",T934DMX,X,Y,3.8
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Azimio, Temeke, Dar es Salaam, Tanzania",T191DWL,X,Y,3.5
"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.4
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,22.8
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,1.8
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Sinza, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,5.5
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,0.0
"Goba, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,EXUNOVA MILLING,Y,4.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,46.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,1.5
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,0.5
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Sultan Area, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,PSR Mill - A,0.3
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Safari,5.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,0.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Sanku : Mwanza,Y,30.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Sanku : Dodoma,3.9
"Kingo, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,15.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,1.2
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T457EBA,Kalokola Grain Mill,Y,0.2
"A7, Mazimbu, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,3.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,0.0
"Bunju, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,13.8
"Sandali, Temeke, Dar es Salaam, Tanzania","Tambani, Mkuranga, Pwani, Tanzania",T240EBJ,X,Sanku : Morogoro,1.8
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,1.5
"Makangarawe, Temeke, Dar es Salaam, Tanzania","Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T934DMX,X,Y,0.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Sanku : Mikocheni,0.0
"Sultan Area, Morogoro Urban, Morogoro, Tanzania","Sultan Area, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.4
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,N.A Mill-B,Sanku : Mikocheni,27.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Amani Milling  B,Sanku : Morogoro,1.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,2.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Sanku : Morogoro,0.0
"Charambe, Temeke, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T141DKS,X,Y,17.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Dar Es Salaam, Boma, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,4.4
"B127, Hembeti, Mvomero, Morogoro, Tanzania","B127, Hembeti, Mvomero, Morogoro, Tanzania",T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0
"Kigamboni, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,1.8
"Kingo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.5
"Old Bagamoyo Road, Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Madaraka, Sultan Area, Morogoro Urban, Morogoro, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,6.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,0.4
"Lumumba Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania","Nelson Mandela Road, Kurasini, Temeke, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
,,T980DMT,X,Y,2.0
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Y,6.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,1.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,8.1
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,1.4
"Kingo, Morogoro Urban, Morogoro, Tanzania","Madaraka, Boma, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,PSR Mill - B,3.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,3.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T141DKS,X,Sanku : Mikocheni,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T191DWL,X,Sanku : Mikocheni,5.1
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,1.1
"Tambukareli, Dodoma Urban, Dodoma, Tanzania","Tambukareli, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,0.0
