Start Location,End Location,Registration,Start Geofence,End Geofence,Trip Distance
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,1.4
,,T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,3.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Katunzi Family,2.4
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,VERONICA MANDELA,Sanku : Dodoma,7.9
"Kitunda, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T250EBJ,Mahanze,Y,1.2
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Sanku : Mikocheni,3.7
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,9.3
"Kizota, Dodoma Urban, Dodoma, Tanzania","Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,1.1
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,124.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Coty,17.6
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.7
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,25.7
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,2.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",T191DWL,X,Y,15.2
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Sabasaba, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,6.2
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,227.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.3
"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania","A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Sanku : Mikocheni,Y,0.0
"Sabasaba, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,1.6
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Mama Bigirwa Mill,Sanku : Mwanza,15.7
"Kitunda, Ilala, Dar es Salaam, Tanzania","Makangarawe, Temeke, Dar es Salaam, Tanzania",T258DXJ,S.A Mills,Muya Grain Millers,21.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Station, Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,4.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.0
"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,9.7
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Mahanze,Y,6.3
,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,H.R.M MILLING,Y,8.8
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Y,6.9
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Y,4.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Azimio, Temeke, Dar es Salaam, Tanzania",T240EBJ,X,Y,3.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Sanku : Mikocheni,Allyamin Entereprises,5.4
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,4.0
"Makole, Dodoma Urban, Dodoma, Tanzania","Majengo, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,20.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,3.5
"Kihonda, Morogoro Urban, Morogoro, Tanzania","B129, Kihonda, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,1.1
"Keko, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Joyce Samuel,Y,99.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Sanku : Morogoro,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,22.3
"Sabasaba, Morogoro Urban, Morogoro, Tanzania","Uhuru, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Viwandani, Dodoma Urban, Dodoma, Tanzania","Tambukareli, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,133.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,3.2
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Sanku : Morogoro,3.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,1.3
"Mazimbu, Morogoro Urban, Morogoro, Tanzania","Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,5.3
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Sanku : Morogoro,2.6
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,75.1
"B129, Kihonda, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Maisha,9.5
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Bigwa, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Goba, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,4.9
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,16.2
"Kizota, Dodoma Urban, Dodoma, Tanzania","Makole, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,9.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Mzalendo One,Y,25.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Dar Es Salaam, Boma, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,2.9
"Chanika, Ilala, Dar es Salaam, Tanzania","Chanika, Ilala, Dar es Salaam, Tanzania",T250EBJ,X,Y,2.8
"Old Morogoro, Kilakala, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.1
"Kitunda, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,X,Y,3.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,5.6
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,1.5
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mbezi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Angelisa Milling,Y,17.5
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","B127, Mvomero, Morogoro, Tanzania",T853DZQ,X,Sanku : Mwanza,2.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Sam Nujoma Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Kimara, Kinondoni, Dar es Salaam, Tanzania","Kimara, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Guzuye investment,10.2
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,14.0
"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania","Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania",T250EBJ,X,Mahanze,5.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Bagamoyo Road, Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,0.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,8.7
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Kababaye Sons,Y,4.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Y,20.2
"Dodoma Road, Majengo, Dodoma Urban, Dodoma, Tanzania","Dodoma Road, Majengo, Dodoma Urban, Dodoma, Tanzania",T141DKS,X,Y,0.0
"Sultan Area, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,5.6
"A7, Mwembesongo, Morogoro Urban, Morogoro, Tanzania","A7, Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,6.9
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,83.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Sanku : Mwanza,0.4
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mkuranga, Pwani, Tanzania",DFP8546,X,Y,0.0
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T248EBJ,X,Y,13.5
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.2
"Kizota, Dodoma Urban, Dodoma, Tanzania","Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,2.9
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Mahanze,8.9
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",MC473DKX,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T141DKS,Sanku : Mikocheni,Y,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,1.6
"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,2.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Isanga,Sanku : Mikocheni,5.7
"Sinza, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Mdee A,2.5
"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,9.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,18.3
"Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,13.6
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.1
"Bunju, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,0.0
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,4.7
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,0.0
"Kingo, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,3.5
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,53.4
"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,8.1
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,4.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,MAWAKI,38.0
,,DFP8546,X,Y,0.6
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,41.8
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,5.3
"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Lugome 2,Muya Grain Millers,4.4
"Msongola, Ilala, Dar es Salaam, Tanzania","Narungumbe Street, Mchikichini, Ilala, Dar es Salaam, Tanzania",T196DQG,X,Y,2.6
"Msongola, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,X,Y,0.0
"Kilakala, Morogoro Urban, Morogoro, Tanzania","Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mzimuni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,14.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,3.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Makangarawe, Temeke, Dar es Salaam, Tanzania","Makangarawe, Temeke, Dar es Salaam, Tanzania",T257DXJ,X,Y,0.6
"Uwanja wa ndege, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Tambukareli, Dodoma Urban, Dodoma, Tanzania","Tambukareli, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,5.0
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Ask milling,Sanku : Mikocheni,30.2
"Uhuru, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Uwanja wa ndege, Morogoro Urban, Morogoro, Tanzania",MC473DKX,X,Sanku : Mikocheni,1.1
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Sam Nujoma Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Kelu Grain Miller,21.9
"Bunju, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Mbuji,Sanku : Morogoro,2.7
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,1.7
"Sinza, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Wamachele,3.5
"Makangarawe, Temeke, Dar es Salaam, Tanzania","Makangarawe, Temeke, Dar es Salaam, Tanzania",T258DXJ,X,Y,0.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.3
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,KESHI 1 GROUP MILING MACHINE,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,X,Y,2.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,0.5
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,9.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,0.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,1.9
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,Rudo Maize,Y,1.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,10.9
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T141DKS,X,Y,0.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,13.9
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,12.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Y,9.3
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Kirumi Milling,210.6
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,45.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,2.3
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Main, Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,1.2
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,0.0
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,MGO Milling,Kilua Milling,2.7
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Lumumba Street, Kariakoo, Ilala, Dar es Salaam, Tanzania",MC473DKX,X,Y,7.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Y,33.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,PSR Mill - B,Y,13.8
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,7.9
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,4.5
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania","Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,2.2
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T853DZQ,X,Y,15.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,2.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Ng'owo,Y,0.6
"Sinza, Kinondoni, Dar es Salaam, Tanzania","Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanz",MC473DKX,X,Sanku : Mikocheni,9.0
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,14.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,22.4
