,Unnamed: 0,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
9,9,2023-11-25 07:58:10,"Makangarawe, Temeke, Dar es Salaam, Tanzania",2023-11-25 08:17:15,"Charambe, Temeke, Dar es Salaam, Tanzania",T258DXJ,D&J,Shomi,9.9
15,15,2023-10-05 15:00:30,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-10-05 15:27:49,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Genevieve,2.6
19,19,2023-10-24 14:08:22,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-10-24 14:14:48,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Kipipa Millers,Kipipa Millers,0.0
24,24,2023-12-30 17:59:21,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-30 18:00:05,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Mbuji,Mbuji,0.0
30,30,2024-01-25 18:59:43,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-25 19:00:25,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Sanku : Dodoma,0.0
32,32,2023-11-27 16:49:36,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-27 17:16:32,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,SFAKS ENTERPRISES,Halelwa,3.9
42,42,2023-10-13 20:20:43,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-13 20:30:23,"Kichangani, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0
47,47,2023-12-01 15:10:13,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:43:14,"Kitunda, Ilala, Dar es Salaam, Tanzania",T240EBJ,Kanaani,Sanku : Morogoro,2.4
54,54,2023-12-11 11:22:36,"Mkunguni Street, Kariakoo, Ilala, Dar es Salaam, Tanzania",2023-12-11 11:48:32,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
55,55,2023-12-31 12:40:07,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-31 13:54:45,"Kariakoo Street, Jangwani, Ilala, Dar es Salaam, Tanzania",T196DQG,Mbuji,Mbuji,12.1
64,64,2024-01-19 20:26:52,"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",2024-01-19 20:39:53,"Lumumba Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0
65,65,2023-11-19 11:16:41,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-19 13:07:09,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Sanku : Mikocheni,Sanku : Mikocheni,0.0
68,68,2023-11-23 19:50:10,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",2023-11-23 20:36:49,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
86,86,2024-01-11 18:06:25,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanz",2024-01-11 18:24:44,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
94,94,2023-11-21 12:53:15,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-21 12:59:22,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Lake Food,Astrica Mill,1.6
95,95,2023-10-01 08:16:37,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-10-01 08:34:11,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T452EBA,Sanku : Dodoma,Sanku : Dodoma,0.0
121,121,2023-12-19 17:25:30,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-12-19 17:34:10,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Safari,5.6
138,138,2024-01-04 17:53:20,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-04 18:37:38,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,N.A Mill-B,Sanku : Mikocheni,27.7
139,139,2024-01-18 12:36:34,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-18 12:42:44,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Amani Milling  B,Sanku : Morogoro,1.7
141,141,2023-12-19 16:02:12,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-19 17:01:00,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Sanku : Morogoro,0.0
144,144,2023-10-19 14:01:05,"B127, Hembeti, Mvomero, Morogoro, Tanzania",2023-10-19 14:03:05,"B127, Hembeti, Mvomero, Morogoro, Tanzania",T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0
148,148,2023-12-18 00:19:49,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-12-18 00:20:52,"Madaraka, Sultan Area, Morogoro Urban, Morogoro, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.1
151,151,2024-01-19 20:42:47,"Lumumba Street, Mchafukoge, Ilala, Dar es Salaam, Tanzania",2024-01-19 20:57:14,"Nelson Mandela Road, Kurasini, Temeke, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
168,168,2023-11-15 14:51:08,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",2023-11-15 14:51:17,"Mji mpya, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
169,169,2023-12-07 11:31:15,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-07 11:33:00,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T452EBA,VERONICA MANDELA,Sanku : Dodoma,7.9
185,185,2023-10-11 19:29:02,"Kichangani, Morogoro Urban, Morogoro, Tanzania",2023-10-11 19:47:58,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Mama Bigirwa Mill,Sanku : Mwanza,15.7
186,186,2024-01-02 20:38:55,"Kitunda, Ilala, Dar es Salaam, Tanzania",2024-01-02 21:24:50,"Makangarawe, Temeke, Dar es Salaam, Tanzania",T258DXJ,S.A Mills,Muya Grain Millers,21.4
198,198,2023-10-11 14:38:42,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-11 14:56:23,"Manzese, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Sanku : Mikocheni,Allyamin Entereprises,5.4
205,205,2023-11-09 11:20:51,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-09 11:29:05,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Sanku : Morogoro,0.0
235,235,2023-12-08 10:16:46,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-08 10:42:50,"Bagamoyo Road, Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,0.8
257,257,2024-01-02 14:45:44,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-02 14:49:39,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Isanga,Sanku : Mikocheni,5.7
275,275,2024-01-20 19:10:13,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2024-01-20 19:16:32,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,41.8
277,277,2024-01-04 10:43:46,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2024-01-04 10:43:55,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Lugome 2,Muya Grain Millers,4.4
288,288,2023-11-27 08:10:09,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-11-27 08:13:47,"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Ask milling,Sanku : Mikocheni,30.2
290,290,2024-01-12 14:43:11,"Manzese, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 15:05:44,"Sam Nujoma Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Kelu Grain Miller,21.9
291,291,2023-10-20 20:10:19,"Bunju, Kinondoni, Dar es Salaam, Tanzania",2023-10-20 21:09:11,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Mbuji,Sanku : Morogoro,2.7
297,297,2023-10-16 19:40:17,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-16 19:57:44,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,KESHI 1 GROUP MILING MACHINE,0.0
301,301,2023-12-03 17:15:44,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-12-03 18:37:19,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,9.5
312,312,2023-11-23 23:42:18,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-24 00:22:39,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,45.0
318,318,2023-11-16 19:14:25,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-16 19:15:49,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,MGO Milling,Kilua Milling,2.7
322,322,2023-12-26 19:00:11,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-12-26 19:29:23,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
344,344,2024-01-12 12:25:48,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 12:30:36,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Naima Mills,PSR Mill - J,19.2
363,363,2023-12-31 16:27:16,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-12-31 16:29:37,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3
365,365,2023-12-01 14:52:38,"Azimio, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:01:36,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5
390,390,2023-11-03 08:28:05,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-11-03 08:28:15,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Takadiri,Sanku : Dodoma,2.8
393,393,2023-11-15 17:45:44,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-15 18:47:25,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
404,404,2024-01-17 19:22:43,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2024-01-17 19:29:02,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
405,405,2023-12-01 15:10:18,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-12-01 15:10:29,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Mujalya Mini Miller,Mama Happy,0.6
464,464,2024-01-02 15:05:49,"Kaole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2024-01-02 15:15:51,"Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Katemi Food,Katemi Food,0.0
467,467,2023-10-08 07:55:03,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-10-08 07:59:59,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Chars Posho,Sanku : Mwanza,14.7
479,479,2023-12-05 07:14:20,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-05 07:46:56,"Magore Street, Upanga Mashariki, Ilala, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,MPWAPWA GROUP,7.8
483,483,2024-01-16 12:15:49,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-16 12:33:23,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0
487,487,2023-10-19 15:13:37,"Manzese, Kinondoni, Dar es Salaam, Tanzania",2023-10-19 15:27:05,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
490,490,2023-10-25 15:19:49,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-10-25 15:26:02,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
494,494,2024-01-03 16:35:47,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 16:36:12,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Africa One Mill -B,43.9
