,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
252,252,Mji mpya,2023-11-16 09:00:54,Mwembesongo,T863DQM,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
253,253,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-12 12:28:50,Mikocheni,T141DKS,Sanku : Mikocheni,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
254,254,Kingolwira,2023-11-30 15:26:45,"A7, Kingolwira",T863DQM,Out of Route,Out of Route,1.2,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
255,255,Mikocheni,2023-10-24 13:12:58,Mikocheni,DFP8546,Out of Route,Out of Route,1.6,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
256,256,"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 19:17:12,Mikocheni,T250EBJ,Out of Route,Out of Route,2.5,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
257,257,Mikocheni,2024-01-02 14:49:39,Mikocheni,T258DXJ,Isanga,Sanku : Mikocheni,5.7,Mwananyamala
258,258,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-29 14:32:45,Mikocheni,T240EBJ,Out of Route,Mdee A,2.5,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
259,259,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2023-11-02 13:44:34,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,9.1,Makumbusho
260,260,Mwembesongo,2023-11-29 16:52:53,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,18.3,"Bagamoyo Road, Makumbusho, Kinondoni, Dar es Salaam, Tanzania"
261,261,"Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania",2023-12-08 12:06:48,Mwembesongo,T863DQM,Out of Route,Out of Route,0.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
262,262,Makaburi,2023-11-08 14:37:19,Makaburi,T257DXJ,Out of Route,Out of Route,13.6,Bagamoyo Road
263,263,Mji mpya,2023-11-22 17:45:41,"Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.1,Bagamoyo Road
264,264,"Bunju, Kinondoni, Dar es Salaam, Tanzania",2023-10-12 16:47:02,Mikocheni,T240EBJ,Out of Route,Out of Route,0.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
265,265,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-17 13:46:16,Mwembesongo,T453EAJ,Out of Route,Out of Route,0.1,Mikocheni
266,266,Mwembesongo,2023-11-07 13:03:16,Kingolwira,T453EAJ,Out of Route,Out of Route,4.7,Mikocheni
267,267,Chole Road,2023-12-14 07:53:33,Chole Road,T452EBA,Out of Route,Out of Route,0.0,Mikocheni
268,268,"Kingo, Morogoro Urban, Morogoro, Tanzania",2023-10-05 11:31:32,"Kingo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,3.5,Mikocheni
269,269,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-16 19:30:37,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Out of Route,Out of Route,53.4,Mikocheni
270,270,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-05 22:15:10,"Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,8.1,Mikocheni
271,271,Manzese,2023-11-21 14:33:42,Makaburi,DFP8546,Out of Route,Out of Route,4.0,Mikocheni
272,272,Mikocheni,2024-01-16 16:09:49,Manzese,MC473DKX,Out of Route,Out of Route,0.0,Mikocheni
273,273,Mwembesongo,2023-11-03 16:40:44,Mwembesongo,T863DQM,Out of Route,MAWAKI,38.0,Mikocheni
274,274,,,,DFP8546,Out of Route,Out of Route,0.6,Mikocheni
275,275,Makaburi,2024-01-20 19:16:32,Makaburi,MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,41.8,Mikocheni
276,276,Mwembesongo,2023-10-05 15:27:11,Mwembesongo,T453EAJ,Sanku : Dodoma,Out of Route,5.3,Mikocheni
277,277,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2024-01-04 10:43:55,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Lugome 2,Muya Grain Millers,4.4,Mikocheni
278,278,"Msongola, Ilala, Dar es Salaam, Tanzania",2024-01-15 16:11:35,"Narungumbe Street, Mchikichini, Ilala, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,2.6,Mikocheni
279,279,"Msongola, Ilala, Dar es Salaam, Tanzania",2023-11-27 14:28:54,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0,Mikocheni
280,280,"Kilakala, Morogoro Urban, Morogoro, Tanzania",2023-11-21 14:38:09,"Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0,Mikocheni
281,281,Mikocheni,2023-12-28 18:12:11,"Mzimuni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,14.6,Mikocheni
282,282,Mwembesongo,2024-01-04 17:46:46,"A7, Kingolwira",T934DMX,Out of Route,Out of Route,3.6,Mikocheni
283,283,Mikocheni,2023-12-04 10:45:21,Mikocheni,T196DQG,Out of Route,Out of Route,0.0,Mikocheni
284,284,Kingolwira,2024-01-24 15:49:55,Mji mpya,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
285,285,Makangarawe,2023-11-06 21:58:37,Makangarawe,T257DXJ,Out of Route,Out of Route,0.6,Mikocheni
286,286,Uwanja wa ndege,2023-12-01 13:49:09,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0,Mikocheni
287,287,"Tambukareli, Dodoma Urban, Dodoma, Tanzania",2023-10-03 10:17:10,"Tambukareli, Dodoma Urban, Dodoma, Tanzania",T980DMT,Out of Route,Out of Route,5.0,Mikocheni
288,288,Chole Road,2023-11-27 08:13:47,"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Ask milling,Sanku : Mikocheni,30.2,Mikocheni
289,289,"Uhuru, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-12-22 08:59:45,Uwanja wa ndege,MC473DKX,Out of Route,Sanku : Mikocheni,1.1,Mikocheni
290,290,Manzese,2024-01-12 15:05:44,"Sam Nujoma Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Kelu Grain Miller,21.9,Mikocheni
291,291,"Bunju, Kinondoni, Dar es Salaam, Tanzania",2023-10-20 21:09:11,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Mbuji,Sanku : Morogoro,2.7,Mikocheni
292,292,Kingolwira,2023-11-14 13:52:19,Kingolwira,T453EAJ,Sanku : Dodoma,Out of Route,1.7,Mikocheni
293,293,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 14:13:25,Manzese,MC473DKX,Out of Route,Wamachele,3.5,Mikocheni
294,294,Makangarawe,2023-12-29 22:33:59,Makangarawe,T258DXJ,Out of Route,Out of Route,0.4,Mikocheni
295,295,Mwembesongo,2023-10-03 16:22:30,Mji mpya,T453EAJ,Out of Route,Out of Route,0.3,Mikocheni
296,296,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2024-01-08 08:05:15,Chole Road,T980DMT,Out of Route,Out of Route,0.0,Mikocheni
297,297,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-16 19:57:44,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,KESHI 1 GROUP MILING MACHINE,0.0,Mikocheni
298,298,Mikocheni,2023-12-15 16:09:38,Mikocheni,MC315DKY,Out of Route,Out of Route,2.4,Mikocheni
299,299,Mikocheni,2024-01-04 18:34:39,Mikocheni,T196DQG,Out of Route,Out of Route,0.0,Mikocheni
300,300,Mwembesongo,2023-10-25 15:36:18,Mwembesongo,T453EAJ,Out of Route,Sanku : Dodoma,0.5,Mikocheni
301,301,Makaburi,2023-12-03 18:37:19,Makaburi,MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,9.5,Old Bagamoyo
302,302,Mikocheni,2023-11-08 11:05:20,Mikocheni,T240EBJ,Out of Route,Out of Route,0.6,Old Bagamoyo
303,303,Mikocheni,2023-11-30 09:40:30,Msasani,T261DXJ,Out of Route,Out of Route,0.8,Old Bagamoyo
304,304,Mikocheni,2023-11-08 11:38:30,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,1.9,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania"
305,305,Kingolwira,2023-12-05 08:15:45,Mwembesongo,T457EBA,Rudo Maize,Out of Route,1.2,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania"
306,306,Mikocheni,2023-12-09 09:09:14,Mikocheni,T452EBA,Out of Route,Out of Route,10.9,Msasani
307,307,Chole Road,2024-01-31 13:10:53,Mikocheni,T141DKS,Out of Route,Out of Route,0.2,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania"
308,308,Mikocheni,2023-11-03 20:09:29,Mikocheni,T257DXJ,Out of Route,Out of Route,13.9,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania"
309,309,Mikocheni,2023-11-27 18:15:46,Mikocheni,T934DMX,Out of Route,Out of Route,12.2,Old Bagamoyo
310,310,Mikocheni,2024-01-16 11:42:46,Mikocheni,MC473DKX,Out of Route,Out of Route,9.3,Old Bagamoyo
311,311,Mwembesongo,2023-11-21 18:27:37,Mwembesongo,T457EBA,Out of Route,Kirumi Milling,210.6,Old Bagamoyo
312,312,Makaburi,2023-11-24 00:22:39,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",MC315DKY,Sanku : Mikocheni,Sanku : Mikocheni,45.0,Msasani
313,313,Makaburi,2024-01-19 13:31:51,Mikocheni,T452EBA,Out of Route,Out of Route,0.0,Msasani
314,314,Mwembesongo,2024-01-25 12:54:41,Mwembesongo,T934DMX,Out of Route,Out of Route,2.3,Msasani
315,315,Mwembesongo,2024-01-12 14:20:18,"Main, Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,1.2,Msasani
316,316,Mji mpya,2023-11-28 16:25:48,Mwembesongo,T863DQM,Out of Route,Out of Route,0.0,Msasani
317,317,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-04 18:37:30,Makaburi,T250EBJ,Out of Route,Out of Route,0.0,Msasani
318,318,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-16 19:15:49,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,MGO Milling,Kilua Milling,2.7,Msasani
319,319,Makaburi,2024-01-19 18:09:29,"Lumumba Street, Kariakoo, Ilala, Dar es Salaam, Tanzania",MC473DKX,Out of Route,Out of Route,7.3,Msasani
320,320,Mikocheni,2023-10-19 16:54:10,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Out of Route,33.1,Msasani
321,321,Mikocheni,2023-11-24 12:09:17,Mikocheni,T258DXJ,PSR Mill - B,Out of Route,13.8,Msasani
322,322,Mwembesongo,2023-12-26 19:29:23,Kingolwira,T850DZQ,Sanku : Mikocheni,Sanku : Mikocheni,0.0,Msasani
323,323,Mwembesongo,2023-10-30 17:41:41,Mwembesongo,T453EAJ,Out of Route,Out of Route,7.9,Msasani
324,324,Mji mpya,2023-11-28 12:25:52,"Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,4.5,Msasani
325,325,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2023-12-18 20:07:12,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,2.2,Msasani
326,326,Mwembesongo,2023-10-11 16:12:37,Mwembesongo,T853DZQ,Out of Route,Out of Route,15.8,Msasani
327,327,Mikocheni,2023-11-30 13:15:54,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,2.1,Kimweri
328,328,Mwembesongo,2023-11-08 13:52:44,"A7, Kingolwira",T863DQM,Ng'owo,Out of Route,0.6,Kimweri
329,329,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-11 18:03:31,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanz",MC473DKX,Out of Route,Sanku : Mikocheni,9.0,Kimweri
330,330,"A7, Kingolwira",2023-11-02 20:50:21,Kingolwira,T862DQM,Out of Route,Out of Route,14.0,Kimweri
331,331,Makaburi,2023-11-04 12:09:46,Makaburi,DFP8546,Out of Route,Out of Route,22.4,Msasani
332,332,"Kingo, Morogoro Urban, Morogoro, Tanzania",2023-10-17 13:51:43,"Kingo, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Pilly Posho Mill,Out of Route,0.4,Msasani
333,333,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2023-12-08 14:57:11,Mikocheni,T196DQG,Out of Route,Out of Route,13.0,Msasani
334,334,Mikocheni,2023-12-13 08:22:03,Mikocheni,T196DQG,Out of Route,Out of Route,2.2,Kimweri
335,335,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2023-11-28 13:08:34,Mwembesongo,T863DQM,Out of Route,Out of Route,0.4,Slipway Road
336,336,Mikocheni,2024-01-03 12:11:16,Mikocheni,T258DXJ,Out of Route,Out of Route,22.4,Slipway Road
337,337,Old Bagamoyo Road,2024-01-26 16:32:33,Mikocheni,T250EBJ,Out of Route,Out of Route,10.4,Chole Road
338,338,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2024-01-16 13:19:26,"Main, Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,0.3,Chole Road
339,339,Mwembesongo,2023-10-25 08:50:53,Mwembesongo,T453EAJ,Out of Route,Sanku : Dodoma,11.6,Chole Road
340,340,Mwembesongo,2023-10-24 11:52:41,Mwembesongo,T453EAJ,Out of Route,Out of Route,0.0,Chole Road
341,341,Mwembesongo,2024-01-17 12:03:32,Mwembesongo,T852DZQ,Out of Route,Out of Route,0.0,Chole Road
342,342,Makaburi,2023-12-04 19:05:27,Makaburi,T258DXJ,Nguju C,Out of Route,26.7,Chole Road
343,343,Mikocheni,2023-11-14 19:21:56,Mikocheni,T257DXJ,Out of Route,Ivan Investment Company,9.5,Chole Road
344,344,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 12:30:36,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Naima Mills,PSR Mill - J,19.2,Chole Road
345,345,Mikocheni,2024-01-25 18:06:22,Mikocheni,T250EBJ,Sanku : Dodoma,Out of Route,9.2,Chole Road
346,346,"Tumbi, Kibaha, Pwani, Tanzania",2023-11-24 22:57:53,Makangarawe,T258DXJ,Out of Route,Sanku : Mikocheni,22.4,Slipway Road
347,347,Mikocheni,2023-12-01 10:36:28,Mikocheni,T240EBJ,Out of Route,Out of Route,0.0,Slipway Road
348,348,Chole Road,2023-10-17 13:17:16,Mikocheni,DFP8546,Out of Route,Out of Route,0.0,Kimweri
349,349,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-16 20:00:41,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,Out of Route,0.9,Msasani
350,350,Mikocheni,2024-01-16 17:45:28,Mikocheni,T261DXJ,Lina,Out of Route,37.4,Msasani
351,351,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-09 11:59:36,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.1,Kimweri
352,352,Mikocheni,2023-11-29 13:22:19,"Kongo Street, Gerezani, Ilala, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0,Kimweri
353,353,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 14:32:27,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,Kimweri
354,354,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-11-30 15:41:30,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0,Kimweri
355,355,Kingolwira,2023-10-31 09:19:36,Mwembesongo,T862DQM,Out of Route,Out of Route,11.3,Msasani
356,356,Mikocheni,2023-11-01 11:56:34,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,2.6,Msasani
357,357,Mikocheni,2023-10-27 12:16:04,Mikocheni,DFP8546,Out of Route,Out of Route,4.9,Msasani
358,358,Kunduchi,2023-12-15 20:35:53,"Goba, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,13.7,Msasani
359,359,Mwembesongo,2024-01-12 12:16:57,Mwembesongo,T934DMX,Out of Route,Out of Route,0.7,Msasani
360,360,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-04 11:02:01,Makaburi,T250EBJ,TAUSI MILL,Out of Route,0.7,Msasani
361,361,Mikocheni,2023-11-26 16:24:12,Mikocheni,T261DXJ,Out of Route,Out of Route,21.2,Msasani
362,362,Mikocheni,2023-10-18 14:44:15,Mikocheni,T250EBJ,NGOSHAH FOOD COMPANY,Out of Route,4.0,Msasani
363,363,"A7, Kingolwira",2023-12-31 16:29:37,"A7, Kingolwira",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3,Msasani
364,364,Mikocheni,2024-01-06 13:59:58,"Tandale, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,0.0,Msasani
365,365,"Azimio, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:01:36,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5,Msasani
366,366,Kichangani,2023-10-29 21:30:21,Kingolwira,T862DQM,Out of Route,Out of Route,0.0,Msasani
367,367,Mikocheni,2023-12-04 13:25:29,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.2,Msasani
368,368,Msasani,2024-01-15 19:53:54,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0,Msasani
369,369,Mwembesongo,2023-10-05 15:07:12,Mwembesongo,T453EAJ,Out of Route,Out of Route,0.7,Old Bagamoyo
370,370,Makaburi,2023-11-07 15:16:15,Makaburi,T257DXJ,Out of Route,Sanku : Mikocheni,46.7,Old Bagamoyo
371,371,Kingolwira,2024-01-22 07:12:03,Mwembesongo,T934DMX,Out of Route,Out of Route,0.0,Old Bagamoyo
372,372,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-13 19:57:31,Mikocheni,T191DWL,Out of Route,Out of Route,0.0,Old Bagamoyo
373,373,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 20:40:22,Mikocheni,T258DXJ,Out of Route,Sanku : Mikocheni,0.0,Old Bagamoyo
374,374,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2024-01-18 16:47:18,Chole Road,T452EBA,Out of Route,Out of Route,1.7,Old Bagamoyo
375,375,Old Bagamoyo Road,2023-12-15 10:18:01,Mikocheni,T196DQG,Out of Route,Out of Route,0.0,Old Bagamoyo
376,376,Mikocheni,2023-10-10 13:56:52,Makaburi,T261DXJ,Out of Route,Out of Route,10.0,Old Bagamoyo
377,377,Kingolwira,2023-11-20 19:40:34,Kingolwira,T863DQM,Out of Route,Out of Route,0.0,Mikocheni
378,378,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",2023-11-06 14:45:48,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,1.2,Mikocheni
379,379,"Chanika, Ilala, Dar es Salaam, Tanzania",2023-12-29 16:16:30,"Msongola, Ilala, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Out of Route,0.5,Mikocheni
380,380,Mikocheni,2023-10-06 10:19:07,Mikocheni,T240EBJ,Out of Route,Kivumbe Mills,1.9,Mikocheni
381,381,"Kingo, Morogoro Urban, Morogoro, Tanzania",2024-01-12 14:48:47,Kichangani,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
382,382,"Sabasaba, Morogoro Urban, Morogoro, Tanzania",2024-01-26 12:33:18,Mwembesongo,T852DZQ,Sanku : Morogoro,Out of Route,0.0,Mikocheni
383,383,"Msongola, Ilala, Dar es Salaam, Tanzania",2023-10-11 15:36:50,"Msongola, Ilala, Dar es Salaam, Tanzania",T250EBJ,Out of Route,MTENDENI MASHINE,3.7,Mikocheni
384,384,Mikocheni,2024-01-26 19:59:20,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Out of Route,Out of Route,7.4,Mikocheni
385,385,Mikocheni,2023-12-11 14:08:16,Mikocheni,T196DQG,Out of Route,Out of Route,9.4,Mikocheni
386,386,Mwembesongo,2023-11-10 14:28:30,Mwembesongo,T453EAJ,Out of Route,Out of Route,7.0,Mikocheni
387,387,Mwembesongo,2024-01-29 17:28:30,Mwembesongo,T934DMX,Out of Route,Out of Route,0.0,Mikocheni
388,388,Mji mpya,2023-10-30 17:47:20,"Boma, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,3.1,Mikocheni
389,389,Mwembesongo,2023-11-22 14:10:44,Mwembesongo,T457EBA,Out of Route,Sanku : Mwanza,2.5,Mikocheni
390,390,Mwembesongo,2023-11-03 08:28:15,Mwembesongo,T453EAJ,Takadiri,Sanku : Dodoma,2.8,Mikocheni
391,391,Mikocheni,2024-01-27 14:29:34,Mikocheni,T980DMT,Out of Route,Out of Route,0.0,Mikocheni
